Tl1,Src1,Dst1,Protocol1,dure1,moy1,length1,DIS1,DIO1,DAO1,dure2,moy2,length2,DIS2,DIO2,DAO2,on,tx,rx,int,x,y,rank,attack,class
5583.02529,32,1,1,0.000,0.000,0,0,0,0,0.000,0.001,102,0,1,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
5652.337835,32,9,1,0.071,0.000,0,0,0,0,0.071,0.018,1836,0,18,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
5715.694279,32,31,1,0.012,0.000,0,0,0,0,0.012,0.004,408,0,4,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
5799.257727,32,6,1,0.116,0.000,0,0,0,0,0.116,0.029,2958,0,29,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
5859.632237,32,6,1,0.108,0.000,0,0,0,0,0.108,0.027,2754,0,27,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
6009.280353,32,1,1,0.000,0.000,0,0,0,0,0.000,0.001,102,0,1,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
6109.014729,32,1,1,0.000,0.000,0,0,0,0,0.000,0.001,102,0,1,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
6175.44608,32,31,1,0.029,0.000,0,0,0,0,0.029,0.008,816,0,8,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
6260.320318,32,31,1,0.083,0.000,0,0,0,0,0.083,0.021,2142,0,21,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
6367.462622,32,9,1,0.108,0.000,0,0,0,0,0.108,0.027,2754,0,27,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
6455.658574,32,7,1,0.017,0.000,0,0,0,0,0.017,0.005,510,0,5,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
6468.905223,32,99,1,0.126,0.000,0,0,0,0,0.126,0.030,2910,0,30,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
6523.713689,32,9,1,0.008,0.000,0,0,0,0,0.008,0.003,306,0,3,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
6674.780462,32,7,1,0.021,0.000,0,0,0,0,0.021,0.006,612,0,6,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
6784.485797,32,1,1,0.000,0.000,0,0,0,0,0.000,0.001,102,0,1,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
6994.503454,32,6,1,0.050,0.000,0,0,0,0,0.050,0.013,1326,0,13,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
7075.089483,32,9,1,0.041,0.000,0,0,0,0,0.041,0.011,1122,0,11,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
7150.409306,32,7,1,0.033,0.000,0,0,0,0,0.033,0.009,918,0,9,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
